"Ticket";"Open_Date_Time";"Open_Day";"Open_Time";"Type";"Size";"Item";"Price";"Stop_Loss";"Take_Profit";"Close_Date_Time";"Close_Day";"Close_Time";"Price";"Commission";"Taxes";"Swap";"Profit"
20217016;"2022.09.07 10:23:28";07.09.2022;"10:23:28";"buy";0,02;".de40cash";12.772,80;0,00;0,00;"2022.09.07 10:46:28";07.09.2022;"10:46:28";12.790,10;"0.00";"0.00";0,00;0,35
20217340;"2022.09.07 10:23:49";07.09.2022;"10:23:49";"buy";0,02;".de40cash";12.760,10;0,00;0,00;"2022.09.07 10:46:28";07.09.2022;"10:46:28";12.790,10;"0.00";"0.00";0,00;0,60
20217828;"2022.09.07 10:25:25";07.09.2022;"10:25:25";"buy";0,02;".de40cash";12.747,80;0,00;0,00;"2022.09.07 10:27:35";07.09.2022;"10:27:35";12.728,30;"0.00";"0.00";0,00;-0,39
20218177;"2022.09.07 10:25:55";07.09.2022;"10:25:55";"buy";0,02;".de40cash";12.738,80;0,00;0,00;"2022.09.07 10:27:35";07.09.2022;"10:27:35";12.727,60;"0.00";"0.00";0,00;-0,22
20223384;"2022.09.07 11:49:18";07.09.2022;"11:49:18";"sell";0,02;".de40cash";12.834,30;0,00;0,00;"2022.09.07 12:05:34";07.09.2022;"12:05:34";12.814,80;"0.00";"0.00";0,00;0,39
20240896;"2022.09.07 16:35:08";07.09.2022;"16:35:08";"sell";0,02;".de40cash";12.835,10;0,00;0,00;"2022.09.08 15:56:05";08.09.2022;"15:56:05";12.746,30;"0.00";"0.00";-0,02;1,78
20242530;"2022.09.07 16:48:59";07.09.2022;"16:48:59";"sell";0,02;".de40cash";12.875,10;0,00;0,00;"2022.09.08 15:56:00";08.09.2022;"15:56:00";12.751,50;"0.00";"0.00";-0,02;2,47
20247153;"2022.09.07 17:32:31";07.09.2022;"17:32:31";"sell";0,02;".de40cash";12.900,00;0,00;0,00;"2022.09.08 15:56:01";08.09.2022;"15:56:01";12.747,90;"0.00";"0.00";-0,02;3,04
20250485;"2022.09.07 18:05:06";07.09.2022;"18:05:06";"sell";0,03;".de40cash";12.890,60;0,00;0,00;"2022.09.07 18:10:17";07.09.2022;"18:10:17";12.905,30;"0.00";"0.00";0,00;-0,44
20251248;"2022.09.07 18:13:01";07.09.2022;"18:13:01";"sell";0,02;".de40cash";12.920,30;0,00;0,00;"2022.09.08 15:56:03";08.09.2022;"15:56:03";12.748,40;"0.00";"0.00";-0,02;3,44
20252363;"2022.09.07 18:29:40";07.09.2022;"18:29:40";"sell";0,03;".de40cash";12.934,30;0,00;0,00;"2022.09.07 18:59:45";07.09.2022;"18:59:45";12.893,70;"0.00";"0.00";0,00;1,22
20264779;"2022.09.07 22:31:22";07.09.2022;"22:31:22";"sell";0,07;".de40cash";12.982,40;0,00;0,00;"2022.09.07 22:33:20";07.09.2022;"22:33:20";12.971,60;"0.00";"0.00";0,00;0,76
20279453;"2022.09.08 10:53:56";08.09.2022;"10:53:56";"sell";0,03;".de40cash";12.890,60;0,00;0,00;"2022.09.08 15:55:21";08.09.2022;"15:55:21";12.770,00;"0.00";"0.00";0,00;3,62
20282318;"2022.09.08 11:58:03";08.09.2022;"11:58:03";"sell";0,03;".de40cash";12.915,60;0,00;0,00;"2022.09.08 15:55:20";08.09.2022;"15:55:20";12.770,30;"0.00";"0.00";0,00;4,36
20285002;"2022.09.08 12:58:53";08.09.2022;"12:58:53";"sell";0,07;".de40cash";12.889,50;0,00;0,00;"2022.09.08 15:42:12";08.09.2022;"15:42:12";12.806,30;"0.00";"0.00";0,00;5,82
20286101;"2022.09.08 13:19:15";08.09.2022;"13:19:15";"sell";0,07;".de40cash";12.871,60;0,00;0,00;"2022.09.08 13:22:20";08.09.2022;"13:22:20";12.877,30;"0.00";"0.00";0,00;-0,40
20287322;"2022.09.08 13:43:58";08.09.2022;"13:43:58";"sell";0,07;".de40cash";12.881,60;0,00;0,00;"2022.09.08 13:47:13";08.09.2022;"13:47:13";12.886,80;"0.00";"0.00";0,00;-0,36
20289994;"2022.09.08 14:25:54";08.09.2022;"14:25:54";"sell";0,07;".de40cash";12.852,60;0,00;0,00;"2022.09.08 15:53:44";08.09.2022;"15:53:44";12.790,30;"0.00";"0.00";0,00;4,36
20291506;"2022.09.08 14:39:41";08.09.2022;"14:39:41";"sell";0,04;".de40cash";12.815,20;0,00;0,00;"2022.09.08 15:52:48";08.09.2022;"15:52:48";12.805,30;"0.00";"0.00";0,00;0,40
20293265;"2022.09.08 14:59:01";08.09.2022;"14:59:01";"sell";0,05;".de40cash";12.793,70;0,00;0,00;"2022.09.08 15:53:32";08.09.2022;"15:53:32";12.787,40;"0.00";"0.00";0,00;0,32
20299351;"2022.09.08 15:56:20";08.09.2022;"15:56:20";"buy";0,07;".de40cash";12.752,40;0,00;0,00;"2022.09.08 15:57:20";08.09.2022;"15:57:20";12.720,70;"0.00";"0.00";0,00;-2,22
20300153;"2022.09.08 15:59:55";08.09.2022;"15:59:55";"sell";0,07;".de40cash";12.719,70;0,00;0,00;"2022.09.08 16:01:09";08.09.2022;"16:01:09";12.729,20;"0.00";"0.00";0,00;-0,67
20301757;"2022.09.08 16:07:56";08.09.2022;"16:07:56";"buy";0,07;".de40cash";12.699,20;0,00;0,00;"2022.09.08 16:13:52";08.09.2022;"16:13:52";12.718,80;"0.00";"0.00";0,00;1,37
20303446;"2022.09.08 16:15:59";08.09.2022;"16:15:59";"sell";0,05;".de40cash";12.726,70;0,00;0,00;"2022.09.08 16:16:45";08.09.2022;"16:16:45";12.716,80;"0.00";"0.00";0,00;0,50
20304230;"2022.09.08 16:20:34";08.09.2022;"16:20:34";"buy";0,07;".de40cash";12.713,50;0,00;0,00;"2022.09.08 16:21:30";08.09.2022;"16:21:30";12.706,90;"0.00";"0.00";0,00;-0,46
20305577;"2022.09.08 16:30:02";08.09.2022;"16:30:02";"buy";0,07;".de40cash";12.700,20;0,00;0,00;"2022.09.08 16:32:25";08.09.2022;"16:32:25";12.717,70;"0.00";"0.00";0,00;1,23
20306529;"2022.09.08 16:33:49";08.09.2022;"16:33:49";"buy";0,07;".de40cash";12.690,80;0,00;0,00;"2022.09.08 16:33:53";08.09.2022;"16:33:53";12.695,80;"0.00";"0.00";0,00;0,35
20307034;"2022.09.08 16:34:00";08.09.2022;"16:34:00";"buy";0,07;".de40cash";12.689,30;0,00;0,00;"2022.09.08 16:34:30";08.09.2022;"16:34:30";12.694,70;"0.00";"0.00";0,00;0,38
20307474;"2022.09.08 16:35:00";08.09.2022;"16:35:00";"buy";0,07;".de40cash";12.686,30;0,00;0,00;"2022.09.08 16:36:24";08.09.2022;"16:36:24";12.680,60;"0.00";"0.00";0,00;-0,40
